id,svenska,ordklass,förklaring_sv,kort_förklaring_sv,suomeksi,område,källa_url
11,affektivitet,substantiv,"Med affektivitet avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Fångar känslors och kroppars verkan.,affektiivisuus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
12,materialitet,substantiv,"Som forskningsbegrepp pekar materialitet på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Lyfter materialens betydelse i kunskap.,materiaalisuus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
13,materiell-diskursivitet,substantiv,"materiell-diskursivitet är ett centralt substantiv inom posthumanistisk, nymaterialistisk och relationell forskning. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Lyfter materialens betydelse i kunskap.,materiaalinen-diskursiivisuus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
14,diskurs,substantiv,"diskurs är ett centralt substantiv inom posthumanistisk, nymaterialistisk och relationell forskning. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Visar hur språk formar betydelser.,diskurssi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
15,fenomen,substantiv,"Som forskningsbegrepp pekar fenomen på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Namn för det som undersöks.,ilmiö,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
16,apparat,substantiv,"apparat betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Beskriver villkor som formar kunskap.,apparaatti,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
17,snitt,substantiv,"snitt är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Markerar hur något avgränsas analytiskt.,leikkaus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
18,agentiskt snitt,substantiv,"agentiskt snitt betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Handlar om förmåga att påverka.,agenttinen leikkaus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
19,diffraktion,substantiv,"diffraktion betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Läser skillnader genom varandra.,diffraktio,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
20,diffraktiv läsning,substantiv,"När man talar om diffraktiv läsning talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i posthumanistisk, nymaterialistisk och relationell forskning, där man ofta behöver beskriva relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Läser skillnader genom varandra.,diffraktiivinen luenta,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
21,relationell ontologi,substantiv,"relationell ontologi betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Betonar relationer framför enheter.,relationaalinen ontologia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
22,platt ontologi,substantiv,"När man talar om platt ontologi talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i posthumanistisk, nymaterialistisk och relationell forskning, där man ofta behöver beskriva relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Handlar om vad som antas finnas.,litteä ontologia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
23,ontologi,substantiv,"ontologi betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Handlar om vad som antas finnas.,ontologia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
24,epistemologi,substantiv,"epistemologi är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Handlar om hur kunskap blir möjlig.,epistemologia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
25,onto-epistemologi,substantiv,"Som forskningsbegrepp pekar onto-epistemologi på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Handlar om hur kunskap blir möjlig.,onto-epistemologia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
26,etiko-onto-epistemologi,substantiv,"etiko-onto-epistemologi är ett centralt substantiv inom posthumanistisk, nymaterialistisk och relationell forskning. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Handlar om hur kunskap blir möjlig.,eettis-onto-epistemologia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
27,mer-än-mänsklig,substantiv,"Med mer-än-mänsklig avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Synliggör icke-mänsklig betydelse.,enemmän-kuin-inhimillinen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
28,icke-mänsklig aktör,substantiv,"Med icke-mänsklig aktör avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Handlar om förmåga att påverka.,ei-inhimillinen toimija,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
29,ting,substantiv,"ting betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Rör saker och deras betydelse.,esine / asia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
30,objekt,substantiv,"objekt är ett centralt substantiv inom posthumanistisk, nymaterialistisk och relationell forskning. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Rör saker och deras betydelse.,objekti,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
31,subjekt,substantiv,"Som forskningsbegrepp pekar subjekt på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Handlar om positioner och identitet.,subjekti,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
32,subjektskapande,substantiv,"subjektskapande är ett centralt substantiv inom posthumanistisk, nymaterialistisk och relationell forskning. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Handlar om positioner och identitet.,subjektiksi tuleminen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
33,decentrering,substantiv,"decentrering är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Förskjuter människan från centrum.,keskittämisen purku,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
34,antropocentrism,substantiv,"Som forskningsbegrepp pekar antropocentrism på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Förskjuter människan från centrum.,antroposentrismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
35,posthumanism,substantiv,"posthumanism betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Utmanar människan som centrum.,posthumanismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
36,kritisk posthumanism,substantiv,"Med kritisk posthumanism avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Utmanar människan som centrum.,kriittinen posthumanismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
37,nymaterialism,substantiv,"Med nymaterialism avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Lyfter materialens betydelse i kunskap.,uusmaterialismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
38,feministisk materialism,substantiv,"feministisk materialism betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Lyfter materialens betydelse i kunskap.,feministinen materialismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
39,vital materialism,substantiv,"vital materialism är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Lyfter materialens betydelse i kunskap.,vitaali materialismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
40,relationell materialism,substantiv,"Som forskningsbegrepp pekar relationell materialism på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Lyfter materialens betydelse i kunskap.,relationaalinen materialismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
41,spekulativ realism,substantiv,"spekulativ realism är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Öppnar för möjliga verkligheter.,spekulatiivinen realismi,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
42,aktör-nätverksteori,substantiv,"aktör-nätverksteori är ett centralt substantiv inom posthumanistisk, nymaterialistisk och relationell forskning. Det fungerar som ett analytiskt ord för att ringa in ett fenomen, en relation eller en praktik som behöver beskrivas mer noggrant än i vardagsspråk. Det är särskilt användbart när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Handlar om förmåga att påverka.,toimijaverkkoteoria,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
43,ANT,substantiv,"Som forskningsbegrepp pekar ANT på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Begrepp för relationer mellan kropp och värld.,ANT / toimijaverkkoteoria,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
44,kompanjonsart,substantiv,"kompanjonsart betecknar ett fenomen eller en dimension som blir viktig när man analyserar texter, bilder, material, undervisningssituationer eller forskningsprocesser. Begreppet hör hemma i posthumanistisk, nymaterialistisk och relationell forskning och används när människor, ting, material, miljöer, tekniker och diskurser samverkar i kunskapande. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Rör relationer mellan arter.,kumppanilaji,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
45,flerartslighet,substantiv,"När man talar om flerartslighet talar man om något som får betydelse först i ett större sammanhang. Termen används för att visa hur praktik, material, språk, erfarenhet och positioner hänger samman. Den passar särskilt väl i posthumanistisk, nymaterialistisk och relationell forskning, där man ofta behöver beskriva relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Rör relationer mellan arter.,monilajisuus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
46,ekologi,substantiv,"Med ekologi avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Knyter kunskap till ekologiska samband.,ekologia,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
47,ekologisk sensibilitet,substantiv,"ekologisk sensibilitet är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Knyter kunskap till ekologiska samband.,ekologinen herkkyys,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
48,jordbundenhet,substantiv,"Med jordbundenhet avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Knyter kunskap till ekologiska samband.,maasidonnaisuus,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
49,situering,substantiv,"Med situering avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Knyter kunskap till plats och position.,situoituminen,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
50,situerad kunskap,substantiv,"Som forskningsbegrepp pekar situerad kunskap på något som inte bara ska definieras, utan också undersökas i sina sammanhang. Ordet hjälper en att se vilka relationer, värden, handlingar eller villkor som påverkar situationen. I posthumanistisk, nymaterialistisk och relationell forskning riktas uppmärksamheten särskilt mot relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer.",Knyter kunskap till plats och position.,situoitu tieto,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
51,tyst kunskap,substantiv,"tyst kunskap är ett ord man använder när man vill beskriva ett forskningsobjekt, ett material eller en pedagogisk situation mer nyanserat. Det gör det möjligt att skilja mellan olika betydelser och nivåer i analysen. I posthumanistisk, nymaterialistisk och relationell forskning används termen för att analysera relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Ordet hjälper att flytta analysen bort från enbart individuella intentioner och mot det som blir möjligt i en situation.",Avser kroppslig och erfaren kunskap.,hiljainen tieto,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
52,praktik,substantiv,"Med praktik avses här ett begrepp som hjälper till att namnge något som påverkar hur kunskap, erfarenhet eller betydelse skapas. I posthumanistisk, nymaterialistisk och relationell forskning används ordet för att uppmärksamma relationer, materialiteter, kroppar, affekter och mer-än-mänskliga processer. Det ger forskaren ett språk för att ställa mer precisa frågor.",Betonar handling i konkreta sammanhang.,käytäntö,posthumanistisk och nymaterialistisk teori,https://www.gu.se/hdk-valand/materialiteter-och-experimentell-estetik
